name,type,rating,price,link,distance,lat,lng
稚舒活餐盒 | 商業午餐 | 外帶便當,健康餐,4.8,$1-200,https://www.google.com/maps/place/%E7%A8%9A%E8%88%92%E6%B4%BB%E9%A4%90%E7%9B%92+%7C+%E5%95%86%E6%A5%AD%E5%8D%88%E9%A4%90+%7C+%E5%A4%96%E5%B8%B6%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442abb4bd63e409:0xb072fc6056e581a3!8m2!3d25.0282255!4d121.5449565!16s%2Fg%2F11x1tfzj6l!19sChIJCeRjvbSrQjQRo4HlVmD8crA?authuser=0&hl=zh-TW&rclk=1,614.0,25.0282255,121.5449565
村民餐盒,健康餐,4.0,$1-200,https://www.google.com/maps/place/%E6%9D%91%E6%B0%91%E9%A4%90%E7%9B%92/data=!4m7!3m6!1s0x3442ab002469fca5:0x9da19377aca6d8b5!8m2!3d25.0331469!4d121.5428175!16s%2Fg%2F11vptwrs3f!19sChIJpfxpJACrQjQRtdimrHeToZ0?authuser=0&hl=zh-TW&rclk=1,122.0,25.0331469,121.5428175
飽哥健康餐盒 大安店,健康餐,4.6,$1-200,https://www.google.com/maps/place/%E9%A3%BD%E5%93%A5%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92+%E5%A4%A7%E5%AE%89%E5%BA%97/data=!4m7!3m6!1s0x3442abd94990c63b:0x4693f078f3074d4c!8m2!3d25.029298!4d121.5459168!16s%2Fg%2F11krrcq732!19sChIJO8aQSdmrQjQRTE0H83jwk0Y?authuser=0&hl=zh-TW&rclk=1,527.0,25.029298,121.5459168
雞肉本家 信維店 (雞肉飯專賣店/健康餐),健康餐,4.9,$1-200,https://www.google.com/maps/place/%E9%9B%9E%E8%82%89%E6%9C%AC%E5%AE%B6+%E4%BF%A1%E7%B6%AD%E5%BA%97+%28%E9%9B%9E%E8%82%89%E9%A3%AF%E5%B0%88%E8%B3%A3%E5%BA%97%2F%E5%81%A5%E5%BA%B7%E9%A4%90%29/data=!4m7!3m6!1s0x3442ab0034381e17:0x37ce54f721198743!8m2!3d25.0331723!4d121.5458052!16s%2Fg%2F11ltkktpvh!19sChIJFx44NACrQjQRQ4cZIfdUzjc?authuser=0&hl=zh-TW&rclk=1,201.0,25.0331723,121.5458052
HELLO! 你好 健康餐,健康餐,4.2,$1-200,https://www.google.com/maps/place/HELLO!+%E4%BD%A0%E5%A5%BD+%E5%81%A5%E5%BA%B7%E9%A4%90/data=!4m7!3m6!1s0x3442ab71a5278653:0x24d5116b2506c64e!8m2!3d25.0310188!4d121.5501001!16s%2Fg%2F11pyc2mjq_!19sChIJU4YnpXGrQjQRTsYGJWsR1SQ?authuser=0&hl=zh-TW&rclk=1,692.0,25.0310188,121.5501001
不二煮藝,健康餐,4.7,$200-400,https://www.google.com/maps/place/%E4%B8%8D%E4%BA%8C%E7%85%AE%E8%97%9D/data=!4m7!3m6!1s0x3442ab97a25ff457:0x9b52555b317fdf8a!8m2!3d25.0368323!4d121.5500021!16s%2Fg%2F11n72k5lnr!19sChIJV_RfoperQjQRit9_MVtVUps?authuser=0&hl=zh-TW&rclk=1,710.0,25.0368323,121.5500021
NICE GREEn 美蔬菜廚房(四維店),健康餐,4.7,$200-400,https://www.google.com/maps/place/NICE+GREEn+%E7%BE%8E%E8%94%AC%E8%8F%9C%E5%BB%9A%E6%88%BF%28%E5%9B%9B%E7%B6%AD%E5%BA%97%29/data=!4m7!3m6!1s0x3442abcec1f80a47:0x6d309bb9893e1a73!8m2!3d25.032497!4d121.5479461!16s%2Fg%2F11c1nwmz0d!19sChIJRwr4wc6rQjQRcxo-ibmbMG0?authuser=0&hl=zh-TW&rclk=1,429.0,25.032497,121.5479461
李氏王朝健康食坊成功店,健康餐,5.0,無資料,https://www.google.com/maps/place/%E6%9D%8E%E6%B0%8F%E7%8E%8B%E6%9C%9D%E5%81%A5%E5%BA%B7%E9%A3%9F%E5%9D%8A%E6%88%90%E5%8A%9F%E5%BA%97/data=!4m7!3m6!1s0x3442ab8e867bc83d:0xfbf84595858fc618!8m2!3d25.0273015!4d121.5461423!16s%2Fg%2F11gks14dzr!19sChIJPch7ho6rQjQRGMaPhZVF-Ps?authuser=0&hl=zh-TW&rclk=1,743.0,25.0273015,121.5461423
KEEP FIT健康料理- 台北健康餐/大安區健康餐/會議餐盒/健康餐盒/外送便當/蒸烤餐盒,健康餐,4.1,$200-400,https://www.google.com/maps/place/KEEP+FIT%E5%81%A5%E5%BA%B7%E6%96%99%E7%90%86-+%E5%8F%B0%E5%8C%97%E5%81%A5%E5%BA%B7%E9%A4%90%2F%E5%A4%A7%E5%AE%89%E5%8D%80%E5%81%A5%E5%BA%B7%E9%A4%90%2F%E6%9C%83%E8%AD%B0%E9%A4%90%E7%9B%92%2F%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92%2F%E5%A4%96%E9%80%81%E4%BE%BF%E7%95%B6%2F%E8%92%B8%E7%83%A4%E9%A4%90%E7%9B%92/data=!4m7!3m6!1s0x3442ab32c40e3271:0xc193b61bd01f2ef7!8m2!3d25.0298367!4d121.5427012!16s%2Fg%2F11h7qzylwb!19sChIJcTIOxDKrQjQR9y4f0Bu2k8E?authuser=0&hl=zh-TW&rclk=1,442.0,25.0298367,121.5427012
MR ENERGY 能量先生水煮餐盒 台北大安,健康餐,3.9,$1-200,https://www.google.com/maps/place/MR+ENERGY+%E8%83%BD%E9%87%8F%E5%85%88%E7%94%9F%E6%B0%B4%E7%85%AE%E9%A4%90%E7%9B%92+%E5%8F%B0%E5%8C%97%E5%A4%A7%E5%AE%89/data=!4m7!3m6!1s0x3442abca42a5244f:0x4cb2da798c527940!8m2!3d25.0342599!4d121.5434428!16s%2Fg%2F11h0khfqrh!19sChIJTySlQsqrQjQRQHlSjHnaskw?authuser=0&hl=zh-TW&rclk=1,80.0,25.0342599,121.5434428
Plants,健康餐,4.5,$400-600,https://www.google.com/maps/place/Plants/data=!4m7!3m6!1s0x3442abd160cc4107:0xa5934c95d2162d73!8m2!3d25.0367176!4d121.5442241!16s%2Fg%2F11c1nvtbdg!19sChIJB0HMYNGrQjQRcy0W0pVMk6U?authuser=0&hl=zh-TW&rclk=1,341.0,25.0367176,121.5442241
