name,type,rating,price,link,distance,lat,lng
金窗駅讚味飯,便當,4.0,$1-200,https://www.google.com/maps/place/%E9%87%91%E7%AA%97%E9%A7%85%E8%AE%9A%E5%91%B3%E9%A3%AF/data=!4m7!3m6!1s0x3442a96d243e2a09:0x8c223865df3c7832!8m2!3d25.0500805!4d121.5158111!16s%2Fg%2F11fy_r8ym8!19sChIJCSo-JG2pQjQRMng832U4Iow?authuser=0&hl=zh-TW&rclk=1,407,25.0500805,121.5158111
卡洛貍健康餐盒_北車店，健康餐盒|健身餐盒|會議餐盒|外帶餐盒|低卡餐盒|健康便當,便當,4.5,$1-200,https://www.google.com/maps/place/%E5%8D%A1%E6%B4%9B%E8%B2%8D%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92_%E5%8C%97%E8%BB%8A%E5%BA%97%EF%BC%8C%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92%7C%E5%81%A5%E8%BA%AB%E9%A4%90%E7%9B%92%7C%E6%9C%83%E8%AD%B0%E9%A4%90%E7%9B%92%7C%E5%A4%96%E5%B8%B6%E9%A4%90%E7%9B%92%7C%E4%BD%8E%E5%8D%A1%E9%A4%90%E7%9B%92%7C%E5%81%A5%E5%BA%B7%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a984737cbf0f:0xbb3c49851b922a28!8m2!3d25.0450731!4d121.5165218!16s%2Fg%2F11qptvnnk6!19sChIJD798c4SpQjQRKCqSG4VJPLs?authuser=0&hl=zh-TW&rclk=1,212,25.0450731,121.5165218
凱哥放山雞便當,便當,4.3,$1-200,https://www.google.com/maps/place/%E5%87%B1%E5%93%A5%E6%94%BE%E5%B1%B1%E9%9B%9E%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a912d4f1588d:0xb1cc705e82fed931!8m2!3d25.05125!4d121.514009!16s%2Fg%2F1tf6v1lq!19sChIJjVjx1BKpQjQRMdn-gl5wzLE?authuser=0&hl=zh-TW&rclk=1,611,25.05125,121.514009
吉野烤肉飯 南陽店,便當,3.9,$1-200,https://www.google.com/maps/place/%E5%90%89%E9%87%8E%E7%83%A4%E8%82%89%E9%A3%AF+%E5%8D%97%E9%99%BD%E5%BA%97/data=!4m7!3m6!1s0x3442a97306a7aecf:0x230f2f4ad9333acf!8m2!3d25.0451792!4d121.5167018!16s%2Fg%2F11b7vk5f16!19sChIJz66nBnOpQjQRzzoz2UovDyM?authuser=0&hl=zh-TW&rclk=1,193,25.0451792,121.5167018
悟饕池上飯包 - 台北東陽店,便當,3.7,$1-200,https://www.google.com/maps/place/%E6%82%9F%E9%A5%95%E6%B1%A0%E4%B8%8A%E9%A3%AF%E5%8C%85+-+%E5%8F%B0%E5%8C%97%E6%9D%B1%E9%99%BD%E5%BA%97/data=!4m7!3m6!1s0x3442a96d2a761347:0x90f03764314ca88d!8m2!3d25.051379!4d121.514402!16s%2Fg%2F1tgq4bv0!19sChIJRxN2Km2pQjQRjahMMWQ38JA?authuser=0&hl=zh-TW&rclk=1,601,25.051379,121.514402
池上木片便當 懷寧街店,便當,3.7,$1-200,https://www.google.com/maps/place/%E6%B1%A0%E4%B8%8A%E6%9C%A8%E7%89%87%E4%BE%BF%E7%95%B6+%E6%87%B7%E5%AF%A7%E8%A1%97%E5%BA%97/data=!4m7!3m6!1s0x3442a9734acced09:0x44b103138d1e930!8m2!3d25.044738!4d121.514219!16s%2Fg%2F1th26287!19sChIJCe3MSnOpQjQRMOnRODEQSwQ?authuser=0&hl=zh-TW&rclk=1,399,25.044738,121.514219
G車便當,便當,4.3,$1-200,https://www.google.com/maps/place/G%E8%BB%8A%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a96ea42ae359:0x3ecaaf03f101cec3!8m2!3d25.0519643!4d121.5199018!16s%2Fg%2F11ggbcj0zf!19sChIJWeMqpG6pQjQRw84B8QOvyj4?authuser=0&hl=zh-TW&rclk=1,628,25.0519643,121.5199018
京宴便當,便當,4.5,$1-200,https://www.google.com/maps/place/%E4%BA%AC%E5%AE%B4%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a9feeeacff7d:0x47a45b817c1087fa!8m2!3d25.0510239!4d121.517303!16s%2Fg%2F11trzvrkqz!19sChIJff-s7v6pQjQR-ocQfIFbpEc?authuser=0&hl=zh-TW&rclk=1,475,25.0510239,121.517303
東記池上便當,便當,3.1,$1-200,https://www.google.com/maps/place/%E6%9D%B1%E8%A8%98%E6%B1%A0%E4%B8%8A%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a973107749ad:0xb33b107270879aa4!8m2!3d25.044983!4d121.5163747!16s%2Fg%2F11_780r6z!19sChIJrUl3EHOpQjQRpJqHcHIQO7M?authuser=0&hl=zh-TW&rclk=1,227,25.044983,121.5163747
京讚自助餐,自助餐,2.9,$1-200,https://www.google.com/maps/place/%E4%BA%AC%E8%AE%9A%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a96c125a1249:0x6dedb5a79f720a88!8m2!3d25.0522555!4d121.5186436!16s%2Fg%2F11csqd6bm9!19sChIJSRJaEmypQjQRiApyn6e17W0?authuser=0&hl=zh-TW&rclk=1,622,25.0522555,121.5186436
